,날짜,제목,언론사,기자,본문
142,2021.04.26 21:13,‘판문점선언’ 3주년…남북관계는 ‘깜깜’,경향신문,김유진 기자 yjkim@kyunghyang.com,"‘3조 13개항’ 대부분 미이행북·중 밀착, 한반도 정세 불안정부, 한·미 정상회담에 기대북의 ‘결과 수용’ 여부도 관건4·27 판문점선언이 27일로 3주년을 맞지만 정부 안팎의 표정은 착잡하다. 오랜 대결의 역사를 마감하고 평화의 시대를 열겠다던 약속이 무색하게 남북관계는 3년 만에 정상 합의 이전으로 뒷걸음질 쳤다. 조만간 공개될 조 바이든 미국 행정부의 대북정책 검토 결과에 이목이 쏠리지만, 1년 남짓 남은 문재인 정부 임기 동안 반전의 계기가 마련될지는 불투명하다.2018년 4월27일 판문점 남북정상회담 이후 문재인 정부의 한반도 평화프로세스는 그해 6월12일 사상 첫 북·미 정상회담으로 이어지며 순항했지만, 이듬해인 2019년 2월 2차 북·미 정상회담이 결렬되는 ‘하노이 노딜’ 이후 북·미, 남북 대화가 단절되며 동력을 상실했다.이인영 통일부 장관이 27일 민간단체 주최 행사에 참석하는 것을 제외하면 정부 차원의 공식 기념행사가 따로 열리지 않는 것도 판문점선언의 의미가 상당 부분 퇴색한 현실을 반영한다.2019년 판문점선언 1주년 때엔 2차 북·미 정상회담 결렬 여파에도 대화의 불씨가 살아날 것이란 기대감이 있었다. 북한이 코로나19로 국경을 전면 봉쇄한 지난해에도 정부는 보건 협력부터 시작하겠다는 자신감을 보였다. 그러나 판문점선언 이후 3년, 남북관계가 장기 교착 국면을 벗어날 돌파구는 좀처럼 보이지 않고 있다.‘3조 13개항’으로 된 판문점선언 대부분은 이행되지 못했다. 판문점선언의 결실인 개성 남북공동연락사무소는 지난해 6월 북한이 일방적으로 폭파했다. 남북정상회담 정례화, 남북 간 공동 행사·국제경기 공동 참가 등은 북한의 무관심과 코로나19로 물거품이 됐다. 종전선언-평화체제 로드맵은 비핵화 협상이 멈춰 선 이후 급속도로 현실성이 떨어졌다.최근 북한이 도쿄 올림픽 불참을 선언하면서 정부가 남북, 북·미 대화 재개 기회로 주목한 ‘도쿄 구상’에도 차질이 생겼다. 미·중 갈등이 고조되는 가운데 북·중 밀착이 본격화하면서 한반도 정세의 불확실성도 커지고 있다. 북한 문제가 미·중 대립구도에 휘둘릴 수 있다는 우려도 나온다.정부는 바이든 행정부의 대북정책 검토 종료에 즈음해 이뤄질 5월 하순 한·미 정상회담을 계기로 대화 재개의 동력이 마련되기를 기대하고 있다. 북·미가 조기에 협상장에 마주 앉아 긴장 국면이 완화되면 문 대통령 임기 말까지 남북관계 ‘복원’이라도 이뤄낼 수 있으리라는 판단 때문이다.남은 변수는 미국의 새 대북정책 내용인데, 원칙에 입각한 외교·압박을 강조하는 바이든 정부의 접근에 북한이 적극 호응할 가능성은 높지 않다. 한·미 간 대북정책 논의에 정통한 외교 소식통은 “바이든 정부가 대북정책 수립 과정에서 전례 없이 한·미·일 공조를 중시했는데, 역으로 북한이 수용할 여지는 낮아질 수 있다”고 말했다."
143,2021.04.26 21:11,수도권·강원 상륙한 민주 당대표 후보들…“안정” “변화” “민생”…리더십 경쟁 과열,경향신문,곽희양 기자 huiyang@kyunghyang.com,"홍영표 “분열 안 돼” 송영길 “새 얼굴로” 우원식 “현장 소통”마지막 전국 순회 합동연설서 지지 호소…상호 비판도 고조더불어민주당 당권 주자들이 26일 대의원·권리당원이 가장 많은 수도권 표심 잡기에 나섰다. 홍영표 후보는 ‘안정’, 송영길 후보는 ‘변화’, 우원식 후보는 ‘민생’을 각각 강조하며 지지를 호소했다. 선거가 후반부로 가면서 후보들 간 기싸움도 한층 거칠어졌다.홍영표·송영길·우원식 민주당 대표 후보(기호순)는 전국 순회 합동연설 마지막 날인 이날 오전 강원 춘천에서 강원 합동연설을, 오후엔 서울 여의도 당사에서 서울·경기·인천 합동연설을 했다.홍 후보는 ‘안정’을 강조했다. 그는 “분열하고 패배하는 변화, 정체성까지 부정하는 혁신은 안 된다”며 “문재인 정부가 아무 성과 없는 것처럼 다 바꾸겠다, 민생을 안 챙겼다, 이런 말 하지 말라”고 했다. 그는 5000명 규모의 차관급 인재풀 구성, 당 윤리감찰기구 강화 등을 약속했다.송 후보는 ‘변화’에 힘을 줬다. “계파와 파벌에서 자유롭다”며 자신이 당 통합과 공정한 대선 경선 관리의 적임자라고 밝혔다. 그는 “스푸트니크 플랜B도 준비하겠다. 외교 네트워크를 총력 활용해서 백신 확보를 뒷받침하겠다”고 말했다.우 후보는 ‘민생’을 강조했다. 그는 당 을지로위원장 경력을 거론하며 “지난 8년간 현장을 뛰면서 갑의 횡포를 막고 을의 눈물을 닦았다”고 밝혔다. 중소상공인·자영업자총연합회 소속 당원 등이 자신을 지지하는 성명을 냈다고도 밝혔다. 손실보상 소급적용과 전 국민 재난지원금 지급 추진 등을 약속했다.상대를 향한 공세도 거세졌다. 홍 후보는 사회관계망서비스(SNS)에 “불안한 당대표는 안 된다. 우유부단한 리더십도 곤란하다”고 밝혔다. 송·우 후보를 각각 겨냥한 발언이다. 우 후보도 SNS에 홍 후보를 향해 “혁신의 비전이 보이지 않는다”고 했고, 송 후보에 대해 “불안하다”고 비판했다. 송 후보는 “저와 경쟁하는 두 분 모두 훌륭한 분”이라면서도 “그러나 새로운 얼굴로 변화가 필요하다”고 밝혔다. 홍 후보는 SNS에 “송 후보가 우 후보와 저를 계파·파벌에 속한 후보로 몰아세웠다”며 “송 후보의 경솔한 언행으로는 위기에 빠진 당을 구할 수 없다”고 비판했다.8차례의 전국 순회 합동연설을 마친 세 후보는 이날과 27일 밤 두 차례 TV토론에서 맞붙는다. 당대표 선거는 28일 시작하는 대의원·권리당원을 대상으로 한 온라인 투표와 다음달 2일 자동응답시스템(ARS) 투표로 진행된다."
144,2021.04.26 21:11,2030 ‘코인 민심’에 놀란 정치권…“대책 마련” 앞다퉈 약속,경향신문,김상범,"금융당국 “거래소 폐쇄 가능성” 경고 뒤 투자자 불만 표출에여 의원들 “제도화로 2030 보호”“과세 유예” 등 언급 달래기당정 대책 엇박자 ‘혼선’…야 “청년들 배신감, TF 구성” 공세가상통화 투기과열 이슈가 정치권으로 옮겨붙었다. 가상통화 규제 계획과 금융당국의 경고로 2030세대 투자자들의 불만이 치솟자 이에 놀란 정치권이 반응을 보이기 시작한 것이다.정부는 가상통화의 제도화를 꺼리는 분위기가 역력한데, 여당 의원들은 가상통화 시스템 제도화를 비롯해 가상통화 과세 유예까지 거론하고 있다. 가상통화 투자자 상당수가 2030세대라는 점에서 여당 의원들 사이에서 정부에 반대되는 목소리가 더 큰 상황이다.그러나 정부와 여야 모두 가상통화에 대한 개념 정립조차 되지 않아 정책적 갈피를 잡지 못하고 있다. 3년 전 똑같은 과열 양상을 겪었음에도 대책 마련에 손을 놓고 있었다는 비판도 제기된다.더불어민주당에서는 가상통화를 제도권에 안착시켜야 한다는 주장이 최근 잇따라 분출되고 있다. 이광재 민주당 의원은 26일 CBS 라디오에서 “미국 등 선진국은 가상자산을 제도화하려고 변화하는데 우리는 하지 않고 있는 것이 문제”라며 “투기 세력을 없애고 제도화해야 2030을 보호할 수 있다”고 말했다. 오영환 민주당 비상대책위원도 이날 비대위 회의에서 “경고성 메시지로 불안을 가중하는 것보다는 가격 조작 등의 불법 행위를 차단할 수 있는 방안을 모색해야 할 때”라고 말했다. 같은 당 박용진 의원은 사회관계망서비스(SNS)에 “(2017년) 당시나 지금이나 암호화폐를 대하는 정부의 수동적이고 낡은 태도가 블록체인 산업의 발전, 투자자 보호를 가로막고 있는 원인”이라고 지적했다.정부의 소극적 태도를 여당이 앞장서 비판한 것이다. 정부는 2017년 말 불거진 가상통화 과열 당시부터 지금까지 가상통화의 제도권 진입을 꺼리고 있다. 김부겸 국무총리 후보자도 이날 “자칫 피해자가 생기면 안 된다”며 “금융위원장은 한번 정도 과열을 진정시킬 필요가 있다는 판단을 한 것 같다”고 말했다. 앞서 지난 22일 은성수 금융위원장은 “거래소들이 9월에 갑자기 폐쇄될 수 있다”고 경고했다.민주당의 이런 태도엔 ‘2030 표심’이 깔려 있다. 20~30대 투자자들은 최근 은 위원장의 ‘거래소 폐쇄 경고’ 발언 이후 청와대 청원을 쏟아낼 정도로 “정부가 2030에겐 기회조차 오지 못하게 규제들을 쏟아내고 있다”는 불만을 터트리고 있다. 4·7 재·보궐 선거에서 2030세대의 반여권 정서를 확인한 민주당 의원들로서는 서둘러 ‘가상통화 민심’을 달래야 하는 상황에 처한 셈이다. 은 위원장의 발언을 두고 노웅래 민주당 의원은 지난 23일 SNS에서 “마치 모든 거래소가 폐쇄되는 양 근거 없는 협박성 발언으로 시장에 큰 충격을 준 부분은 반드시 책임져야 한다”고 말했다.여당에선 가상통화 과세를 미루자는 주장마저 제기되고 있다. 개정 소득세법에 따라 내년부터는 가상통화 시세차익에 세금이 붙는다. 양향자 의원은 SNS에서 “가상통화에 대한 성격 규정도 제대로 되지 않은 상황에서 과세부터 하겠다고 하면 시장의 신뢰를 얻기 힘들 것”이라고 말했다.당 지도부도 대응책을 고심하고 있다. 하지만 가상통화를 투자자산으로 볼지 등에 대한 의견이 분분해 통일된 입장을 정리하지 못한 상황이다. 당내 가상통화 대응기구 설치 여부를 두고 지도부에서도 엇박자를 내는 등 혼선도 빚어졌다. 일단 민주당은 정책위원회 차원에서 가상통화와 관련된 상황을 점검한 뒤 대응방안을 논의하는 쪽으로 가닥을 잡았다.국민의힘은 가상통화와 관련된 당내 태스크포스(TF)를 발족하겠다는 방침을 밝혔다. 주호영 국민의힘 당대표 권한대행 겸 원내대표는 비상대책위원회 회의에서 “(가상통화) 투자자를 보호할 수 없다면서 소득에는 과세한다는 정부의 논리에 의해 투자에 나섰던 2030 청년들이 배신감과 억울함을 드러내고 있다”며 “TF를 만들어 이 제도(가상통화)에 대한 연구와 투자자 보호를 위한 방안을 강구할 것”이라고 밝혔다."
145,2021.04.26 21:11,“당이 김어준 지켜줘야” 적극 방어 나선 여당,경향신문,박광연 기자  lightyear@kyunghyang.com,"강성 지지층 영향력 의식추미애·우원식 등 두둔“내 편 정치 갇혔다” 우려여당이 ‘편향성 논란’에 폐지 주장까지 나오는 방송인 김어준씨(사진)의 라디오 방송을 ‘집단 옹호’하는 발언을 쏟아내고 있다. 지지층에 막대한 영향력을 미치는 ‘스피커’를 보호해야 한다는 의도로 풀이되지만, 재·보궐 선거 참패 이후 ‘쇄신’을 외치면서도 지지층에 기대는 더불어민주당의 현주소를 보여준다는 평가가 나온다.추미애 전 법무부 장관은 26일 자신의 사회관계망서비스(SNS)에 TBS 라디오 <김어준의 뉴스공장>을 두고 “어느 언론보다 열심히 팩트체크를 하고 시민의 알권리에 충실한 진실보도 자세를 견지해왔다”고 썼다. 앞서 다른 언론들의 ‘편향성’을 지적하며 ‘외눈’이라고 표현한 데 대해 “장애 비하”라는 비판이 제기됐지만, 이에 아랑곳하지 않고 재차 ‘뉴스공장’을 두둔한 것이다.당권 주자인 우원식 민주당 의원도 전날 유튜브 방송에서 “(뉴스공장은) 그나마 진실을 이야기하는 언론”이라며 “우리 당이 지켜주지 않으면 언론 자유가 후퇴할 수 있다”고 말했다.“기득권과 싸움의 최전선에 뉴스공장이 있다”(김용민 의원), “김어준 귀한 줄 알아야 한다”(정청래 의원)는 등 강경파 의원들도 ‘김어준 지키기’에 나섰다.민주당이 김씨를 일제히 옹호하는 것은 민주당 강성 지지층에서 김씨가 차지하는 영향력이 적지 않기 때문이다. 아울러 야당을 중심으로 가해지는 김씨에 대한 공격이 대선 등을 겨냥한 정치적 의도가 있다는 판단도 작용한 것으로 보인다.하지만 당 안팎에선 외부 여론을 외면하며 지지층에 호소하는 ‘내 편 정치’에 갇혀 있는 모습이라는 지적이 나온다.박성민 정치컨설팅그룹 민 대표는 기자와 통화하면서 “여론지형을 보면 중도층과 20~30대는 뉴스공장이 공정하지 않다고 평가한다”며 “ ‘김어준이 무너지면 정권을 빼앗긴다’는 식으로 여당이 대처하면 여론의 폭넓은 지지를 받기 어려울 것”이라고 말했다. 김씨를 뉴스공장에서 퇴출시키라는 청와대 국민청원은 이날 기준 32만명 이상이 동의했다.민주당의 한 중진 의원도 통화에서 “민주정당을 지향하면서 외부의 비판에 개방적이지 못한 점이 우리 당의 약점”이라며 “일부 강성 당원들에서 벗어나지 못하면 더 큰 패배를 겪을 수도 있다”고 ‘뉴스공장’ 논란으로 부각된 ‘지지층 정치’를 우려했다."
146,2021.04.26 18:43,종부세 개편 두고 “당분간 논의 없어” “안다룰 수 없어” 여당 내 ‘이견’ 노출,경향신문,박광연 기자 lightyear@kyunghyang.com,"향후 부동산 세제 개편 가능성을 두고 26일 집권 여당 내에서 “당분간 세금 관련 논의는 없다”는 발언이 나왔다가 “안다룰 수 없다”는 주장이 제기되는 등 혼란스러운 상황이 연출됐다. 재·보궐 선거 패배 이후 부동산 세제를 완화하자는 주장과 기존의 ‘과세 형평성’을 지켜야 한다는 원칙론이 분출하는 ‘난맥상’이 고스란히 나타난 것으로 풀이된다.최인호 더불어민주당 수석대변인은 이날 오전 기자들과 만나 “내일 (당내) 부동산 특별위원회가 예정돼있다”며 “신혼부부와 직장인 등 무주택자에 대한 대책에 초점을 맞춰 논의가 진행될 것”이라고 말했다.최 수석대변인은 일각에서 거론되는 종합부동산세 부과 기준 조정 등 ‘부동산 세제 개편’ 논의 가능성에 선을 그었다. 그는 “세금 관련 논의는 당분간 없을거라는 것은 확실하게 말씀드린다”며 “2·4 부동산 대책에 맞지 않는 주장으로 인해 조금이라도 흔들려서는 안된다는 것이 당 지도부의 일관된 생각”이라고 강조했다.그러나 이날 오후 민주당 관계자 입에서는 최 수석대변인 발표를 반박하는 듯한 발언이 나왔다. 국회 기획재정위원회 민주당 간사인 고용진 의원은 기획재정부와 당정협의를 마치고 기자들과 만나 “왜 (부동산 세금 관련) 논의조차 막나”라며 “발의된 법안이 여러개 있다. 그것을 안 다룰 수 없다”고 말했다. 그러면서 “제기된 문제는 원천 차단할 수 없다”며 “결론은 내야한다”고 말했다.기재부 내에서도 종부세 부과 기준 조정 방안이 검토되고 있다고 고 의원은 설명했다. 고 의원은 “지난해부터 종부세 공시지가 기준을 상향해달라는 말이 있었다”며 “시장에 잘못된 시그널(신호)을 보낸다는 우려 때문에 언급을 자제해왔지만, 지금 공론화된 마당에 정부도 열고 검토하겠다는 것”이라고 말했다. 다만 고 의원은 “얼마로 딱 가는게 좋겠다는 건 없었다”며 “당정이 결론낸 건 없다”고 확대 해석을 경계했다.당의 부동산 특위 간사를 맡은 고 의원은 특위에서 전반적인 정책 방안을 논의하되 기존의 ‘큰 틀’은 유지될 것이라고 설명했다. 고 의원은 “여러가지 이야기된 것들을 풀어놓고 논의를 해야 한다. 틀을 흔드는 방향으로 가지는 않을 것”이라고 말했다. 그러면서 “(정책을) 미세 조정하는 것에 대해 신중하게 오래 검토해서 혼선이 있는 것처럼 비춰지게 하지 말자는 입장”이라고 말했다."
147,2021.04.26 17:31,"군, 해병대 상륙공격헬기로 '마린온 무장형’ 국내개발",경향신문,박성진  안보전문기자 longriver@kyunghyang.com,"해병대 상륙공격헬기가 기존 상륙기동헬기 ‘마린온’의 무장형으로 결정됐다.군 당국은 해병대에서 운용할 상륙공격헬기를 국내 연구개발로 확보하기로 했다. 방위사업청은 26일 서욱 국방부 장관 주재로 제135회 방위사업추진위원회를 열어 해병대 상륙공격헬기를 국내 연구개발로 확보하기로 했다고 밝혔다. 상륙기동헬기 ‘마린온’에 무장을 달아 상륙공격 헬기로 운용하겠다는 것이다.방사청은 “군 작전요구 성능의 충족성과 상륙기동헬기 ‘마린온’과의 호환성을 고려한 운영 유지의 효율성, 향후 유·무인복합체계 구축 등의 체계 확장성 등을 종합적으로 고려했다”고 설명했다. 이 사업에는 내년부터 2031년까지 총사업비 1조6000억 원이 투입될 예정이다. 군 당국은 추후 사업타당성 조사를 통해 최종 예산을 확정한다는 방침이다.방사청은 “이번 사업을 통해 입체고속 상륙작전을 구현하기 위한 상륙군의 항공화력 지원 능력이 보강되고, 서북 도서에서의 적 기습강점을 대비할 수 있는 능력이 강화됨은 물론, 국내 기술력 확보 및 국내 일자리 창출 등이 기대된다”고 설명했다.앞서 상륙공격헬기 사업 추진 방식을 두고 논란이 지속되자 방사청은 작년 10월 상륙공격헬기 사업분석 용역을 발주했다. 앞선 두 차례의 선행연구에서 외산 직구매와 국내연구개발 중 어느게 더 적절한지 결과가 달랐고, 주요 현안에 대한 해소 없이 사업 추진 시 부담이 가중될 수밖에 없다는 판단에 따른 조치였다.당초 2015년 7월~2016년 2월 안보경영연구원이 진행한 1차 선행연구에선 미국 벨의 전용 공격헬기인 바이퍼(AZ-1Z) 기종을 국외구매 하는 것이 비용과 성능 및 전력화 시기 측면 모두에서 우위에 있는 것으로 분석됐다.그러나 국방기술품질원의 2차 선행연구에선 국내연구개발이 비용 측면에서 더 유리하고 성능 측면에서도 군의 요구 수준을 충족해 외산 구매 보다 더 적절하다고 평가했다. 이번 사업분석 용역에서도 2차 선행연구와 마찬가지로 국내 개발이 더 낫다고 판단했다.공군의 ‘대형수송기 2차 사업’ 기종은 국외에서 구매하기로 했다. 총사업비는 내년부터 2026년까지 4대를 구매하는데 4천800억 원이 들어갈 것으로 추정된다."
148,2021.04.26 17:14,국민의힘 지지율 급락...민심이 보내는 경고장,경향신문,박용하 기자 yong14h@kyunghyang.com,"4·7 재·보궐 선거에서 압승한 야권이 지지율 하락을 겪고 있다. 대승한 분위기를 이어받아 이뤄져야 할 쇄신은 지체되고, 탄핵 부정 논란 등에 따른 ‘도로 한국당’ 우려가 깊어지며 민심의 경고등이 켜진 것으로 분석된다.한국사회여론조사연구소(KSOI)가 TBS 의뢰로 지난 23~24일 성인 1000여명을 대상으로 실시한 여론조사에서 국민의힘 정당 지지도는 일주일 전보다 4.9%포인트 하락한 29.1%를 기록했다. 재·보선 전인 지난달 12일 이후 30%가 넘는 지지율을 유지했으나 이번 조사에서는 급락한 것이다. 리얼미터가 YTN 의뢰로 지난 19~23일 진행한 조사에서도 국민의힘 지지율은 일주일 전보다 0.5%포인트 하락한 36.6%였다. 재·보선 직후인 4월 첫째주 고공 지지율(39.4%)을 기록한 뒤 2주 연속 떨어진 것이다(두 조사 모두 표본오차는 95% 신뢰수준에 ±3.1%포인트).국민의힘의 지지율 하락에는 ‘도로 한국당’ 우려가 커진 상황이 영향을 끼친 것으로 분석된다. 리얼미터 자료를 보면 국민의힘 지지율은 서병수 의원이 ‘박근혜 탄핵 부당성’을 거론한 지난 20일 이후 하락 반전된 것으로 나타났다. 특히 진보층과 호남에서의 지지율 하락이 컸다.반면 더불어민주당은 KSOI와 리얼미터 조사에서 모두 지지율이 반등했다. 민주당도 선거 이후 미진한 쇄신 속에 ‘돌파구’를 찾지 못하고 있었으나 국민의힘의 실책이 반등의 계기가 된 것이다. 국민의힘 한 관계자는 “선거 이후 오만하지 말자는 목소리는 많았지만 ‘말’로만 그친 게 문제”라며 “지금이라도 정신을 차려야 한다”고 밝혔다."
149,2021.04.26 17:09,문 대통령 “윤여정님 수상 축하…‘기생충’에 이은 영화계의 쾌거”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 26일 “배우 윤여정 님의 아카데미 여우조연상 수상을 국민과 함께 축하한다”며 “끊임없는 열정으로 다른 문화 속에서 살아온 분들에게까지 공감을 준 윤여정 님의 연기 인생에 경의를 표한다”고 밝혔다.문 대통령은 이날 소셜네트워크서비스(SNS)를 통한 축하 메시지에서 “영화 ‘기생충’으로 작품성과 연출 능력을 국제적으로 인정받은 데 이은 영화계의 쾌거”라며 이같이 적었다.그러면서 “우리 문화·예술에 대한 자부심을 더욱 높여주었고, 무엇보다 코로나로 지친 국민들께 큰 위로가 되었다”고 했다.문 대통령은 “한국인 최초의 아카데미 여우조연상 수상은 102년 한국 영화사의 역사를 ‘연기’로 새롭게 썼다는 데에 매우 특별한 의미가 있다”며 “또한 미국 이민 2세인 정이삭 감독, 배우 스티븐 연과 우리 배우들이 함께 일궈낸 쾌거여서 더욱 뜻깊다. 이번 수상이 우리 동포들께도 자부심과 힘으로 다가가길 바란다”고 강조했다.이어 “영화 ‘미나리’는 우리에게 매우 큰 의미가 있다. 한 가족의 이민사를 인류 보편의 삶으로 일궈냈고, 사는 곳이 달라도 우리 모두 긴밀하게 연결되어 있다는 것을 확인해주었다”며 “우리들의 할머니, 어머니의 모습을 생생하게 살려낸 윤여정 님의 연기가 너무나 빛났다. 다시 한번 수상을 자랑스럽게 여기며 축하한다”고 밝혔다."
150,2021.04.26 15:47,육군훈련소 ‘입소 3~10일간 양치·샤워 제한’ 논란…“방역 조치” vs “인권 침해”,경향신문,최민지 기자 ming@kyunghyang.com,"코로나19 검사 기간 동안화장실 사용 시간까지 통제육군 “연 12만명 입소 상황과도한 수준 예방 불가피”군인권센터 “해병대는 2일육군은 손쉬운 통제 선택”육군훈련소가 코로나19 예방을 이유로 훈련병들의 화장실 이용을 제한하고 양치와 샤워를 입소 3~10일 후 할 수 있게 하는 등 인권침해적 방역 방침을 내세우고 있다는 주장이 제기됐다. 육군훈련소는 “연간 12만명이 입소하는 훈련소 특성상 과도한 수준의 예방적 조치가 불가피하다”고 밝혔다.군인권센터는 26일 성명을 내고 “최근 사회관계망서비스(SNS)에서 논란이 된 육군훈련소의 코로나19 감염병 예방 지침 관련 실태를 점검한 결과 비상식적인 코로나19 대응이 이뤄지고 있음을 확인했다”고 밝혔다.센터에 따르면 육군훈련소에 입소한 훈련병들은 매주 월요일 입소한 뒤 ‘예방적 격리’에 들어간다. 다음날인 화요일 1차 유전자증폭(PCR) 검사를 받고 결과가 나오는 수요일까지 비말 감염 우려를 이유로 양치와 세면이 금지된다. 화장실도 통제된 시간에만 다녀올 수 있다.1차 검사에서 음성 판정이 나오면 양치와 간단한 세면은 가능하지만, 샤워는 입소 일주일 후 받는 2차 PCR 검사에서 음성 판정이 나와야 가능하다. 이는 입소일로부터 적게는 8일, 길게는 10일이 지난 뒤다.센터는 “불특정 다수가 밀집하는 수도권의 공중화장실조차 면적당 동시 사용 인원과 시간을 통제해 이용할 수 있게 한다”며 “육군훈련소의 방역 지침은 과도하게 개인이 위생을 유지할 권리를 침해하고 있다”고 주장했다. 센터는 훈련소가 화장실에 갈 수 있는 시간을 제한하는 탓에 바지에 용변을 보는 훈련병들이 있다는 제보도 접수했다.센터는 “육군은 감염병 통제를 위한 부득이한 조치라 주장하지만, 해병대의 경우 1차 검사 결과가 나오기 전인 입소 2일차까지만 샤워와 세면, 양치를 전면 통제하고 이후에는 모든 세면이 가능하다”며 “육군훈련소는 대안을 강구하지 않고 이를 모두 통제하는 손쉬운 방법부터 택했다”고 했다.센터는 “방역도 결국 사람이 살기 위해 하는 것”이라며 “현재 훈련병 대상 방역 지침을 전면 재검토하고, 훈련병들이 최소한의 기본적 청결을 유지하며 훈련소 생활을 할 수 있도록 새 지침을 즉시 강구하라”고 촉구했다.육군훈련소 측은 이날 입장문을 내고 “양치는 3일차까지 생수와 가글을 이용하게 하되 치과 관련 질병 등으로 불가피할 경우 허용하고, 샤워는 1차 검사 결과 음성이 확인되면 3일차부터 허용한다. 용변은 급한 경우 타 생활관용 대소변기를 소독 후 사용하도록 하고 있다”며 “이는 훈련소 특성을 고려하면 불가피한 조치”라고 밝혔다."
151,2021.04.26 15:16,"민주당 “윤여정의 아카데미 수상, <기생충> 이후 또다시 역사 썼다”",경향신문,박홍두 기자 phd@kyunghyang.com,"더불어민주당은 26일 배우 윤여정씨의 미국 아카데미 여우조연상 수상과 관련해 “영화 <기생충> 수상 이후 또다시 한국영화사에 기리 남을 역사를 썼다”고 찬사를 보냈다.최인호 민주당 수석대변인은 이날 국회 브리핑을 통해 “64년 만에 아시아 여성 배우 수상자의 탄생과 더불어, 한국 영화 역사상 처음으로 우리 배우가 아카데미에서 연기상을 거머쥐었다”며 “코로나19로 힘든 시간을 보내고 있는 국민께 단비와도 같은 기쁜 소식을 전해준 윤여정 배우와 영화 <미나리>의 출연진, 제작진 모두에게 진심으로 축하와 감사를 전한다”고 밝혔다.이어 최 수석대변인은 “영화 속 윤여정씨는 딸을 위해 미국으로 간 한국 할머니 ‘순자’ 역할을 맡아, 아메리칸드림의 아픈 감정, 가족과 사랑에 대한 보편적인 감정을 가슴 뭉클하게 표현해냈다”며 “먹먹하고 따뜻했던 윤여정 배우의 연기는 세계 영화인들에게 큰 감동과 여운을 줬다”고 평가했다.그러면서 “이번 수상이 모든 이들에게 희망과 용기가 되길 바란다. 불안과 혼돈 속에서도 끝까지 희망을 잃지 않고 도전했던 <미나리> 속 주인공들처럼, 연대와 사랑으로 지금의 위기를 함께 극복해 나갈 수 있길 희망한다”고 했다.이낙연 전 민주당 대표도 자신의 사회관계망서비스(SNS) 글을 통해 “윤여정님의 오스카 주연상 수상, 자랑스럽다”며 “코로나19로 어려운 상황임에도 좋은 작품을 만들어준 제작진, 출연진 여러분께 경의를 표한다. 우리 영화의 힘찬 도약을 응원한다”고 밝혔다.국회 문화체육관광위원회 민주당 간사인 박정 의원은 “영화 <기생충>에 이은 윤여정 열풍이 자랑스럽다”며 “한국 영화 발전이 곧 콘텐츠 강국 대한민국을 만드는 밑거름이 될 것이라 믿는다. 코로나19로 침체된 영화산업 발전을 위해 국회 차원의 지원과 응원을 아끼지 않겠다”고 했다."
